petite,"small

little

smaller","J'aimerais faire une petite correction.

J'aimerai vous présenter une petite...

Utilisez toujours une petite quantité de pâte.","I 21 would just like to make a small correction.

I'd like to introduce you a small tablet...

Use always a little amount of dough by time.",<b>petite</b> filles Vous ne vous moquerez plus
vous,"you

yourself

yourselves","Endormez-vous avec et vous vous réveillerez totalement revitalisé.

Mais vous vous êtes réconciliée avec Eleanor.

Monsieur Oettinger, vous vous dissipez.","Go to sleep with it and you will awake revitalized.

But you must have patched things up with Eleanor...

Commissioner Oettinger, you are discussing something else.",filles <b>vous</b> ne <b>vous</b> moquerez plus Quand <b>vous</b>
ne,"no

there

just","Elle ne digère pas la situation et ne comprend pas les longs délais : il craint que cela ne termine par un divorce.

Il importe donc que les programmes nationaux et provinciaux ne s'affaiblissent pas, ni ne marginalisent ou ne réduisent l'indemnisation globale des agriculteurs.

L'habitude de s'administrer soi-même des médicaments anodins ne produit aucun résultat, ne guérit rien et ne procure qu'un soulagement imaginaire.","She resents the situation and does not understand why it is taking so long: he fears it will end in divorce.

It is therefore important that national and provincial programs not undermine one another, nor lead to marginalizing or discounting the total compensation provided to farmers.

The habit of self-medication with sedative drugs settles nothing, heals nothing and gives only fictitious ease.",filles Vous <b>ne</b> vous moquerez plus Quand vous
moquerez,you'll laugh,"Vous ne vous moquerez pas lorsque ceci vient à se réaliser.

Vous ne vous moquerez pas de moi.

Petites filles Vous ne vous moquerez plus","You won't be mocking when this comes to pass.

I won't let you mock me.

Little girls you won't mock anymore",filles Vous ne vous <b>moquerez</b> plus Quand vous verrez dans la
plus,"more

more than

increasingly","Nous serons plus prévenants, plus sensibles et plus attentifs.

La parfumerie-cosmétique est de plus en plus importante.

Les progrès technologiques et la mondialisation exigent des professionnels de plus en plus préparés pour un marché plus concurrentiel.","We will be more thoughtful, more considerate and more responsive.

The perfumery and cosmetics industry is increasingly important for us.

Technological advances and globalization require professionals increasingly prepared for a more competitive market.",filles Vous ne vous moquerez <b>plus</b> Quand vous verrez dans la rue
quand,"when

if

once","On me disait quand manger, quand dormir, quand marcher, quand parler, tout.

Les Oblats trouvent dur de ralentir, même quand nous sommes malades et quand l'âge impose un changement.

Elle disparaîtra quand vous quitterez ce site.","It was like, they tell me when to eat, when to sleep, when to walk, when to talk, everything.

Oblates find it hard to slow down, even when we are sick and when the aging process indicates a change must be made.

It will disappear once you will leave this website.",filles Vous ne vous moquerez plus <b>quand</b> vous verrez dans la rue Quasimodo
verrez,"will see

you'll see

be seeing","Bientôt vous en verrez les preuves irréfutables.

Désormais, vous me verrez dans vos cauchemars.

Vous le verrez, car il a promis de venir dîner un de ces jours.","Soon, you will see irrefutable evidence of this.

And from now on, you will see me in your nightmares.

You will see for yourself, for he has promised to dine with us one of these days.",ne vous moquerez plus Quand vous <b>verrez</b> dans la rue Quasimodo le bossu Il
dans,"into

to

within","Ils sont dans deux disques dans mon appartement.

Des différences importantes subsistent toutefois dans chaque pays même dans ce domaine.

Cette mesure entraînera des ralentissements dans l'innovation, dans les investissements et dans la création d'emplois.","They're all on a couple of drives back at my apartment.

Important differences exist, though, among the individual countries even in this respect.

This measure will cause slowdowns in innovation, investments and job creation.",moquerez plus Quand vous verrez <b>dans</b> la rue Quasimodo le bossu Il m'ont
rue,"street

road

homeless","Dans le rue Notre Dame des Délinquants.

Cette grande rue traverse le centre de Barcelone.

Recourir à la rue était risqué et contre-productif.","In the street named Our Lady of the Delinquents.

This wide street runs right through the centre of Barcelona.

This resort to street politics was risky and ultimately self-defeating.",plus Quand vous verrez dans la <b>rue</b> Quasimodo le bossu Il m'ont élu Le
bossu,"hunchback

humpback

hump","Toutes les generations Von Dinkensteins avoir un bossu pour serviteur.

Je me sens comme le bossu de Notre Dame.

Maigrichon, bossu, des ongles comme ça.","All generations Von Dinkensteins have hunchback for servant.

I feel like the hunchback of notre dame.

Skinny, humpback, fingernails like this.",verrez dans la rue Quasimodo le <b>bossu</b> Il m'ont élu Le pape des fous
il,"there

this

that","Maintenant, il faut attendre qu'il se réveille.

Mais il semblerait qu'il ait répondu.

Toujours il était mon rêve étude il.","All we have to do now is wait and see how he's doing when he wakes up.

Yet the evidence would suggest that he did respond.

You know. It's always been a dream of mine to go there.",dans la rue Quasimodo le bossu <b>il</b> m'ont élu Le pape des fous C'est
c'est,"it's

that's

this is","Alors c'est un porte-à-faux de 25 mètres - c'est assez considérable.

Écoute, c'est moche que Jeanie soit défigurée... mais c'est censé être nos vacances.

Maintenant c'est comme c'est supposé l'être.","So this is an 80-foot cantilever - it's quite substantial.

Look, it's too bad that jeanie's face got shredded... But this is supposed to be our vacay.

Now that's the way it's supposed to be.",Il m'ont élu Le pape des fous <b>c'est</b> aujourd'hui le jour de la fête des
aujourd'hui,"today

currently

nowadays","La troisième est celle approuvée aujourd'hui.

Peut-être sera-t-il aujourd'hui en minorité dans son organisation.

Il compte aujourd'hui vingt-et-un habitants.","The third application is the one being approved today.

Today, perhaps, he will be in the minority in his organization.

It currently has a population of 20 inhabitants.",élu Le pape des fous C'est <b>aujourd'hui</b> le jour de la fête des rois Et
fête,"party

feast

festival","On fête toujours Noël au bar demain soir.

Cette fête ne durera pas éternellement.

Nous regarderons cette fête dans notre prochaine étude.","You know, we're still having the Christmas party down at the bar tomorrow night.

You know, this party can't last forever.

We will look at this feast in our next study.",C'est aujourd'hui le jour de la <b>fête</b> des rois Et pour un jour cela me
rois,"kings

king

monarchs","Adoration des rois (Nuremberg).

Le pharaon convoque tous les rois.

Les paysannes épousent rarement des rois.","Adoration of the Kings. to Giorgione).

The Pharaoh has called a conference of all the kings.

A peasant girl isn't usually a very desirable match for a king.",aujourd'hui le jour de la fête des <b>rois</b> Et pour un jour cela me donne tous
pour,"for

to

of","Recherché pour meurtre puis travaille pour nous.

Très commun pour la planification d'événements parti pour leur compétitivité pour les enfants.

Contactez-nous pour connaître nos programmes éducatifs ou pour réserver.","He's wanted for murder, and then he suddenly works for us.

Very common for party planning events for their competitiveness for the children.

Contact us to hear more about our educational programs or to make a reservation.",le jour de la fête des rois Et <b>pour</b> un jour cela me donne tous les
cela,"this

that

that's","On veut jouer avec cela, et cela constitue du mauvais lobby.

En Colombie-Britannique, cela peut arriver et cela me dérange beaucoup.

Non seulement cela, mais cela ajoute encore plus de concurrence à votre jeu.","Wanting to interfere with that is bad lobbying.

In the province of British Columbia that can happen and that bothers me greatly.

Not only that, but this adds even more competition to your game.",la fête des rois Et pour un jour <b>cela</b> me donne tous les droits
