παιδοφθορήσεις,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
μνησικακήσεις,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
διγνώμων,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
πονηρὰν,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ῷος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
παιδοφθορήσεις,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
διαφορὰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
διαφορὰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀνέπεμψα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
προσλαβοῦ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
εὐαγγελίου,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀπέχῃς,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἠδίκησ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἐλλόγει,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀποτίσω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἠδίκησέ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
εὔφρανον,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἐπωνύμῳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
νῶτον,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᾐτήσατό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἐλλόγει,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ὁλοκαύτωμά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ὑπερασπίσαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἠδίκησέ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ἐπακούσαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀποτίσω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἐκύκλωσάν,,,,,,,,,,,,,,,,,,,,,,,,,,,,Μυροφόροι,μνῆμά
διαφορὰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αἰτήματά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἐπικαλεσώμεθά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
εὐφρανεῖς,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀντιλάβοιτό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
γίνεσθαί,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
μισοῦντάς,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
φώτισόν,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
παρίδῃς,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
κατεπλάγη,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Μαθήτριαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
αἰνετὸν,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Καταξίωσον,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἥμαρτόν,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
εἶπα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
καταφυγὴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Πρόσδεξαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀνόμημά,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀήττητον,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
τρόπαιον,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Προστασία,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἀκαταίσχυντε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
παρίδῃς,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἱκεσίας,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
πανύμνητε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ἐνηχοῦντο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
τρανῶς,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
φθεγγομένου,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
θρηνολογοῦσαι,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ᾔσθητε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Μυροφόροις,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
κιρνᾶτε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
προσεφθέγγετο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ἱδρωσάτω,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
