sinn,"sense

meaning

mind","Einen ohne den anderen zu haben, würde nicht wirklich sinn machen.

Nicht nur auf dem Platz macht ein Laser Entfernungsmesser sinn.

Die Technik ist hier nämlich eine kompliziertere, eine Verbindung von Doppel- sinn (von der Unterart f.) und Verschiebung.","To have one without the other just wouldn't really make sense.

A laser range finder makes sense not only on the field.

The technique in this case is quite is a com- bination of double meaning (sub-group f) and displacement.","seine Stoffe nimmt – etwa im <b>sinne</b> der Frage, die jener Kardinal an"
bedingung,"condition

requirement

clause","Aber das ist keine bedingung für meine Hilfe für Ihre Sammlung.

Geht herein, um die bedingung ihrer ordnungen zu wissen.

Dann bildet unser Entwerfer einen Entwurf entsprechend Ihrer Bedingung.","But this is not a condition for my helping your collection.

Enters to know the condition of your orders.

Then our designer will make a design according to your requirement.",daß die beste Einsicht in die <b>bedingungen</b> der dichterischen Stoffwahl und
werden,"be

will

become","Sieben verschiedene Strahlentabellen werden vorgestellt und mögliche Interpretationsmethoden werden diskutiert.

Diese Ansätze werden in Angebote umgewandelt, Marktleistung und Nutzenversprechen werden konkretisiert.

Die Suchanfragen werden dokumentiert und können durch das integrierte Marktforschungstool ausgewertet werden.","Seven different ray charts are presented, and possible methods of interpretation are discussed.

These approaches are transformed into offers, market performance and benefit promises are clearly defined.

The search queries are documented and can be evaluated using the integrated market research tool.","nichts dazu beitragen <b>würde</b>, uns selbst zu Dichtern zu machen"
haben,"have

do

get","Schleimlöser haben wie alle Medikamente Nebenwirkungen.

Nahrungsergänzungsmittel in Hartgelatinekapseln haben eine große Marktbedeutung.

Inzwischen haben immerhin zwei davon geantwortet.","Be aware that expectorants, like all medications, may have side-effects.

Dietary supplements in hard gelatine capsules have a high rank on the market.

In the meantime, at least two of them have replied.",Laien <b>hat</b> es immer mächtig gereizt zu wissen
dichter,"poet

writer

author","Juli desselben Jahres starb der große russische dichter.

Starb der dichter im November 1892 von Komplikationen nach Bronchitis.

Orchideen wachsen im Schatten dichter Baumkronen.","15 July of the same year the great Russian poet, died.

The poet died in November, 1892, of complications from bronchitis.

Orchids grow in the shade of dense canopies.","merkwürdige Persönlichkeit, der <b>dichter</b>, seine Stoffe nimmt – etwa im"
ihnen,"you

them

offer","Andere Spieler können ihnen nur zusehen wenn sie es ihnen erlauben.

Das erleichtert ihnen den Überblick und gibt ihnen Sicherheit bei ihrer eigenen Analyse.

Gleichzeitig verlieren Zauberinnen alle ihnen zugeschriebenen positiven Eigenschaften.","Other players allow you to watch by invitation only.

This makes it easier for you to maintain an overview and offers you additional security during your own analyses.

At the same time, sorceresses lose all the positive qualities attributed to them.","er es zustande bringt, uns mit <b>ihnen</b> so zu ergreifen, Erregungen in"
einsicht,"insight

access

understanding","Ich hoffe Sie bekamen einige einsicht in mein Erlebnis.

Die neuen Produkte decken die drei Säulen des Datenmanagements für Unternehmen ab: Datensicherheit, -verfügbarkeit und -einsicht.

Sie haben immer den möglichkeit zum einsicht und änderung vom daten ihrer konto.","Hope you got some insight into my experience.

The new solutions will address the three foundational pillars for comprehensive enterprise data management: data protection, data availability and data insight.

You have access to and the possibility to change your information at any time through your account.","unser Wissen, daß die beste <b>einsicht</b> in die Bedingungen der"
befriedigend,"satisfying

satisfactory

satisfied","Kurzfristig aber sind sie effektiv und befriedigend.

Seine Biege- und Scheuerfestigkeit ist befriedigend.

Das Endergebnis des Vermittlungsverfahrens kann als äußerst befriedigend betrachtet werden.","In the short run, they are effective and satisfying.

Its bending strength and scrub resistance are satisfying.

The end result of the conciliation procedure can be considered as very satisfactory.","uns keine oder keine <b>befriedigende</b> Auskunft gibt, und wird gar"
woher,"where

from where

whence","Überlege dir woher der Lichteinfall kommen soll.

Außerdem kann jedermann von überall nachvollziehen, woher ein Bitcoin stammt.

Dieser Lebensraum ähnelt der Prärie Nordamerikas, woher ihre Urahnen stammen.","Decide where the incidence of light should come from.

In addition, everyone can follow where a bitcoin has originated from anywhere.

This habitat resembles the prairieland of North America, from where its ancestors originated.","immer mächtig gereizt zu wissen, <b>woher</b> diese merkwürdige Persönlichkeit,"
zustande,"concluded

about

achieved","Vorliegender Endbenutzer-Lizenzvertrag kommt zwischen dem Lizenznehmer und dem Lizenzgeber zustande.

Ein Vertragsverhältnis kommt auch durch Auslieferung der Ware zustande.

Diese Führung kam beinahe zufällig zustande.","This End User Licence Agreement is concluded between the Licensee and the Licensor.

A contractual relationship is also concluded by delivery of the goods.

This guided tour came about almost by accident.","richtete –, und wie er es <b>zustande</b> bringt, uns mit ihnen so zu"
