ἀναπέμπω,(an-ap-em'-po),Verb,to send up,ἐσθῆτα λαμπρὰν ἀνέπεμψεν αὐτὸν τῷ<br><br>οὐδὲ Ἡρῴδης ἀνέπεμψεν γὰρ αὐτὸν<br><br>ἕως οὗ ἀναπέμψω αὐτὸν πρὸς, apparel splendid he sent back him to<br><br> not even Herod he sent back indeed him<br><br> until that I might send him to,,ἀνέπεμψα,BibleHub
εὐαγγέλιον,(yoo-ang-ghel'-ee-on),"Noun, Neuter",good news,κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας<br><br>τοῦτο τὸ εὐαγγέλιον τῆς βασιλείας<br><br>κηρυχθῇ τὸ εὐαγγέλιον τοῦτο ἐν, proclaiming the gospel of the kingdom<br><br> this gospel of the kingdom<br><br> shall be proclaimed the gospel this in,,εὐαγγελίου,BibleHub
ἀπέχω,(ap-ekh'-o),Verb,"to hold back, keep off, to be away, be distant",λέγω ὑμῖν ἀπέχουσιν τὸν μισθὸν<br><br>λέγω ὑμῖν ἀπέχουσιν τὸν μισθὸν<br><br>τῆς γῆς ἀπεῖχεν βασανιζόμενον ὑπὸ, I say to you they have the reward<br><br> I say to you they have the reward<br><br> the land being tossed by,,ἀπέχῃς,BibleHub
ἐλλογέω,(el-log-eh'-o),Verb,"to charge to one's account, impute",τοῦτο ἐμοὶ ἐλλόγα , this to me charge to the account,,ἐλλόγει,BibleHub
ἀποτίνω,(ap-ot-ee'-no),Verb,"to pay off, repay",,,,ἀποτίσω,BibleHub
νῶτος,(no'-tos),"Noun, Masculine",the back,,,,νῶτον,BibleHub
λέγω,(leg'-o),Verb,to say,ἐφάνη αὐτῷ λέγων Ἰωσὴφ υἱὸς<br><br>τοῦ προφήτου λέγοντος <br><br>λέγοντες Ποῦ ἐστὶν, appeared to him saying Joseph son<br><br> the prophet saying<br><br> saying Where is,,εἶπα,BibleHub
φθέγγομαι,(ftheng'-gom-ahee),Verb,to utter,ἀνθρώπου φωνῇ φθεγξάμενον ἐκώλυσεν τὴν<br><br>γὰρ ματαιότητος φθεγγόμενοι δελεάζουσιν ἐν, a man's voice having spoken forbade the<br><br> indeed of vanity speaking they allure with,,φθεγγομένου,BibleHub
ἀναπέμπω,(an-ap-em'-po),Verb,to send up,ἐσθῆτα λαμπρὰν ἀνέπεμψεν αὐτὸν τῷ<br><br>οὐδὲ Ἡρῴδης ἀνέπεμψεν γὰρ αὐτὸν<br><br>ἕως οὗ ἀναπέμψω αὐτὸν πρὸς, apparel splendid he sent back him to<br><br> not even Herod he sent back indeed him<br><br> until that I might send him to,,ἀνέπεμψα,BibleHub
εὐαγγέλιον,(yoo-ang-ghel'-ee-on),"Noun, Neuter",good news,κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας<br><br>τοῦτο τὸ εὐαγγέλιον τῆς βασιλείας<br><br>κηρυχθῇ τὸ εὐαγγέλιον τοῦτο ἐν, proclaiming the gospel of the kingdom<br><br> this gospel of the kingdom<br><br> shall be proclaimed the gospel this in,,εὐαγγελίου,BibleHub
ἀπέχω,(ap-ekh'-o),Verb,"to hold back, keep off, to be away, be distant",λέγω ὑμῖν ἀπέχουσιν τὸν μισθὸν<br><br>λέγω ὑμῖν ἀπέχουσιν τὸν μισθὸν<br><br>τῆς γῆς ἀπεῖχεν βασανιζόμενον ὑπὸ, I say to you they have the reward<br><br> I say to you they have the reward<br><br> the land being tossed by,,ἀπέχῃς,BibleHub
ἐλλογέω,(el-log-eh'-o),Verb,"to charge to one's account, impute",τοῦτο ἐμοὶ ἐλλόγα , this to me charge to the account,,ἐλλόγει,BibleHub
ἀποτίνω,(ap-ot-ee'-no),Verb,"to pay off, repay",,,,ἀποτίσω,BibleHub
νῶτος,(no'-tos),"Noun, Masculine",the back,,,,νῶτον,BibleHub
λέγω,(leg'-o),Verb,to say,ἐφάνη αὐτῷ λέγων Ἰωσὴφ υἱὸς<br><br>τοῦ προφήτου λέγοντος <br><br>λέγοντες Ποῦ ἐστὶν, appeared to him saying Joseph son<br><br> the prophet saying<br><br> saying Where is,,εἶπα,BibleHub
φθέγγομαι,(ftheng'-gom-ahee),Verb,to utter,ἀνθρώπου φωνῇ φθεγξάμενον ἐκώλυσεν τὴν<br><br>γὰρ ματαιότητος φθεγγόμενοι δελεάζουσιν ἐν, a man's voice having spoken forbade the<br><br> indeed of vanity speaking they allure with,,φθεγγομένου,BibleHub
