δεύτερος,dyoo'-ter-os,"Adjective,  Adverb",second,"δευτέρα δὲ ὁμοία

πάλιν ἐκ δευτέρου ἀπελθὼν προσηύξατο

καὶ ὁ δεύτερος ἔλαβεν αὐτήν"," [the] second moreover [is] like

 Again for a second time having gone away he prayed

 and the second took her",<b>Δευτέρα</b> δὲ ἐντολὴ τῆς διδαχῆς,Δευτέρα,BibleHub
ἐντολή,en-tol-ay',"Noun, Feminine","an injunction, order, command","παραβαίνετε τὴν ἐντολὴν τοῦ θεοῦ

τήρησον τὰς ἐντολάς 

Διδάσκαλε ποία ἐντολὴ μεγάλη ἐν"," break the commandment of God

 keep the commandments

 Teacher which commandment [is the] greatest in","δὲ <b>ἐντολὴ</b> τῆς διδαχῆς; οὐ φονεύσεις, οὐ",ἐντολὴ,BibleHub
μοιχεύω,moy-khyoo'-o,Verb,to commit adultery,"αὐτὴν ἤδη ἐμοίχευσεν αὐτὴν ἐν

ποιεῖ αὐτὴν μοιχευθῆναι καὶ ὃς

φονεύσεις Οὐ μοιχεύσεις Οὐ κλέψεις"," her already has committed adultery with her in

 causes her to commit adultery and whoever

 You will murder not You will commit adultery not you will steal","τῆς διδαχῆς; οὐ φονεύσεις, οὐ <b>μοιχεύσεις</b>, οὐ παιδοφθορήσεις, οὐ",μοιχεύσεις,BibleHub
πορνεύω,porn-yoo'-o,Verb,to commit fornication,"μηδὲ πορνεύωμεν καθώς τινες

τινες αὐτῶν ἐπόρνευσαν καὶ ἔπεσαν

εἰδωλόθυτα καὶ πορνεῦσαι "," Neither should we commit sexual immorality as some

 some of them committed sexual immorality and fell

 things sacrificed to idols and to commit sexual immorality","οὐ παιδοφθορήσεις, οὐ <b>πορνεύσεις</b>, οὐ κλέψεις, οὐ μαγεύσεις,",πορνεύσεις,BibleHub
κλέπτω,klep'-to,Verb,to steal,"διορύσσουσιν οὐδὲ κλέπτουσιν 

μοιχεύσεις Οὐ κλέψεις Οὐ ψευδομαρτυρήσεις

μαθηταὶ αὐτοῦ κλέψωσιν αὐτὸν καὶ"," do break in nor steal

 You will commit adultery not you will steal not You will bear false witness

 disciples of him steal away him and","οὐ πορνεύσεις, οὐ <b>κλέψεις</b>, οὐ μαγεύσεις, οὐ φαρμακεύσεις",κλέψεις,BibleHub
μαγεύω,mag-yoo'-o,Verb,to practice magic,,,"οὐ πορνεύσεις, οὐ κλέψεις, οὐ <b>μαγεύσεις</b>, οὐ φαρμακεύσεις, οὐ φονεύσεις",μαγεύσεις,BibleHub
φαρμακεία,far-mak-i'-ah,"Noun, Feminine","the use of medicine, drugs or spells",ἐν τῇ φαρμακείᾳ σου ἐπλανήθησαν, by the sorcery of you were misled,"οὐ κλέψεις, οὐ μαγεύσεις, οὐ <b>φαρμακεύσεις</b>, οὐ φονεύσεις τέκνον ἐν φθορᾷ",φαρμακεύσεις,BibleHub
τέκνον,tek'-non,"Noun, Neuter",a child of either sex,"τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ

διδόναι τοῖς τέκνοις ὑμῶν πόσῳ

παραλυτικῷ Θάρσει τέκνον ἀφίενταί σου"," these to raise up children for Abraham

 to give to the children of you how much

 paralytic Take courage son have been forgiven you","οὐ φαρμακεύσεις, οὐ φονεύσεις <b>τέκνον</b> ἐν φθορᾷ οὐδὲ γεννηθὲν ἀποκτενεῖς",τέκνον,BibleHub
φθορά,fthor-ah',"Noun, Feminine","destruction, corruption","σπείρεται ἐν φθορᾷ ἐγείρεται ἐν

οὐδὲ ἡ φθορὰ τὴν ἀφθαρσίαν

σαρκὸς θερίσει φθοράν ὁ δὲ"," It is sown in decay it is raised in

 nor the decay the immortality

 flesh will reap decay the [one who] however","οὐ φονεύσεις τέκνον ἐν <b>φθορᾷ</b> οὐδὲ γεννηθὲν ἀποκτενεῖς, οὐκ",φθορᾷ,BibleHub
ἀποκτείνω,ap-ok-ti'-no,Verb,to kill,"μὴ δυναμένων ἀποκτεῖναι φοβεῖσθε δὲ

θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν

γραμματέων καὶ ἀποκτανθῆναι καὶ τῇ"," not are able to kill you should fear moreover

 wishing him to kill he feared the

 scribes and to be killed and the","τέκνον ἐν φθορᾷ οὐδὲ γεννηθὲν <b>ἀποκτενεῖς</b>, οὐκ ἐπιθυμήσεις τὰ τοῦ",ἀποκτενεῖς,BibleHub
ἐπιθυμέω,ep-ee-thoo-meh'-o,Verb,"desire, lust after","καὶ δίκαιοι ἐπεθύμησαν ἰδεῖν ἃ

καὶ ἐπεθύμει χορτασθῆναι ἐκ

καὶ ἐπιθυμῶν χορτασθῆναι ἀπὸ"," and righteous [men] desired to see what

 And he was longing to be fed out of

 and desiring to be satisfied from","οὐδὲ γεννηθὲν ἀποκτενεῖς, οὐκ <b>ἐπιθυμήσεις</b> τὰ τοῦ πλησίον. Οὐκ",ἐπιθυμήσεις,BibleHub
