Πιστεύω,Πιστεύω
παντοκράτορα,παντοκράτωρ
ποιητὴν,ποιητής
ὁρατῶν,ὁρατός
ἀοράτων,ἀόρατος
μονογενῆ,μονογενής
ἀληθινὸν,ἀληθινός
οὐ,οὐ
ὁμοούσιον,ὁμοούσιος
πάντα,πᾶς
ἡμετέραν,ἡμέτερος
σωτηρίαν,σωτηρία
κατελθόντα,κατέρχομαι
σαρκωθέντα,σαρκόω
Παρθένου,Παρθένου
ἐνανθρωπήσαντα,ἐνανθρωπέω
Σταυρωθέντα,Σταυρωθέντα
ὑπὲρ,ὑπέρ
Ποντίου,Ποντίου
Πιλάτου,Πιλάτου
παθόντα,πάσχω
ταφέντα,θάπτω
ἀναστάντα,ἀνίστημι
τρίτῃ,τρίτος
Γραφάς,Γραφάς
ἀνελθόντα,ἀνέρχομαι
οὐρανοὺς,οὐρανοὺς
καθεζόμενον,κατάἕζομαι
πάλιν,πάλιν
μετὰ,μετά
κρῖναι,κρίνω
ζῶντας,ζάω
νεκρούς,νεκρός
βασιλείας,βασιλεία
οὐκ,οὐ
τέλος,τέλος
ζωοποιόν,ζωοποιός
ἐκπορευόμενον,ἐκπορεύω
σὺν,σύν
συμπροσκυνούμενον,"σύν,πρόσκυνάω"
συνδοξαζόμενον,συνδοξάζω
λαλῆσαν,λαλέω
Προφητῶν,Προφητῶν
μίαν,εἷς
καθολικὴν,καθολικὴν
ἀποστολικὴν,ἀποστολικὴν
Ἐκκλησίαν,Ἐκκλησίαν
Ὁμολογῶ,Ὁμολογῶ
βάπτισμα,βάπτισμα
ἄφεσιν,ἄφεσις
ἁμαρτιῶν,ἁμαρτία
Προσδοκῶ,Προσδοκῶ
ἀνάστασιν,ἀνάστασις
νεκρῶν,νεκρός
ζωὴν,ζωή
μέλλοντος,μέλλω
ἕνα,εἷς
τε,τε
πάντων,πᾶς
γεννηθέντα,γεννάω
δι ̓,δι ̓
οὗ,ἵημι
ἐκ,ἐκ
