γεννάω,"to beget, to bring forth",Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ<br><br>Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν<br><br>Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς, Isaac moreover was father of Jacob<br><br> Jacob moreover was father of Judah<br><br> Judah moreover was father of Perez,Verb,"""<b>τὸν</b> συνάναρχον Λόγον Πατρὶ καὶ Πνεύματι""",Τὸν,Plagal I
σύν,"with, together with (expresses association with)",δέῃ με σὺν σοὶ ἀποθανεῖν<br><br>Τότε σταυροῦνται σὺν αὐτῷ δύο<br><br>οἱ συσταυρωθέντες σὺν αὐτῷ ὠνείδιζον, it were needful for me with you to die<br><br> Then are crucified with him two<br><br> the [ones] having been crucified with him insulted,Preposition,"""<b>συνάναρχον</b> Λόγον Πατρὶ καὶ Πνεύματι, τὸν""",συνάναρχον,Plagal I
λόγος,"a word (as embodying an idea), a statement, a speech",δὲ ὁ λόγος ὑμῶν ναὶ<br><br>μου τοὺς λόγους τούτους καὶ<br><br>μου τοὺς λόγους τούτους καὶ, moreover the statement of you Yes<br><br> my words these and<br><br> my words these and,"Noun, Masculine","""συνάναρχον <b>λόγον</b> Πατρὶ καὶ Πνεύματι, τὸν ἐκ""",Λόγον,Plagal I
πατήρ,a father,ἐν ἑαυτοῖς Πατέρα ἔχομεν τὸν<br><br>Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας<br><br>καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν, within yourselves [For] father we have<br><br> Zebedee the father of them mending<br><br> and the father of them they followed,"Noun, Masculine","""συνάναρχον Λόγον <b>πατρὶ</b> καὶ Πνεύματι, τὸν ἐκ Παρθένου""",Πατρὶ,Plagal I
πνεῦμα,"wind, spirit",γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου<br><br>βαπτίσει ἐν πνεύματι ἁγίῳ καὶ<br><br>εἶδεν τὸ πνεῦμα τοῦ θεοῦ, having been conceived from [the] Spirit is Holy<br><br> will baptize with [the] Spirit Holy and<br><br> he saw the Spirit of God,"Noun, Neuter","""συνάναρχον Λόγον Πατρὶ καὶ <b>πνεύματι</b>, τὸν ἐκ Παρθένου τεχθέντα εἰς""",Πνεύματι,Plagal I
παρθένος,"a maiden, a virgin",οὐρανῶν δέκα παρθένοις αἵτινες λαβοῦσαι<br><br>πᾶσαι αἱ παρθένοι ἐκεῖναι καὶ<br><br>αἱ λοιπαὶ παρθένοι λέγουσαι Κύριε, heavens ten virgins who having taken<br><br> all the virgins those and<br><br> the other virgins saying Lord,"Noun, Feminine","""Πατρὶ καὶ Πνεύματι, τὸν ἐκ <b>παρθένου</b> τεχθέντα εἰς σωτηρίαν ἡμῶν,""",Παρθένου,Plagal I
πιστός,"faithful, reliable",ἀγαθὲ καὶ πιστέ ἐπὶ ὀλίγα<br><br>ὀλίγα ἦς πιστός ἐπὶ πολλῶν<br><br>ἀγαθὲ καὶ πιστέ ἐπὶ ὀλίγα, good and faithful over a few things<br><br> a few things you were faithful over many things<br><br> good and faithful over a few things,Adjective,"""εἰς σωτηρίαν ἡμῶν, ἀνυμνήσωμεν, <b>πιστοὶ</b> καὶ προσκυνήσωμεν· ὅτι ηὐδόκησε,""",πιστοὶ,Plagal I
ἀνέρχομαι,to go up,οὐδὲ ἀνῆλθον εἰς Ἰεροσόλυμα<br><br>τρία ἔτη ἀνῆλθον εἰς Ἰεροσόλυμα, nor went I up to Jerusalem<br><br> three years I went up to Jerusalem,Verb,"""ὅτι ηὐδόκησε, σαρκὶ <b>ἀνελθεῖν</b> ἐν τῷ σταυρῷ, καὶ θάνατον""",ἀνελθεῖν,Plagal I
ἐγείρω,"to waken, to raise up",Ἰωσὴφ λέγων Ἐγερθεὶς παράλαβε τὸ<br><br>ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ<br><br>λέγων Ἐγερθεὶς παράλαβε τὸ, to Joseph saying Having risen take with [you] the<br><br> moreover he having risen took with [him] the<br><br> saying Having risen take with [you] the,Verb,"""καὶ θάνατον ὑπομεῖναι, καὶ <b>ἐγεῖραι</b> τοὺς τεθνεῶτας, ἐν τῇ ἐνδόξῳ""",ἐγεῖραι,Plagal I
ἔνδοξος,"held in honor, glorious",πᾶσιν τοῖς ἐνδόξοις τοῖς γινομένοις<br><br>ἰσχυροί ὑμεῖς ἔνδοξοι ἡμεῖς δὲ<br><br>αὐτὸς ἑαυτῷ ἔνδοξον τὴν ἐκκλησίαν, all the glorious things which were being done<br><br> strong you honored we however<br><br> it to himself glorious the church,Adjective,"""ἐγεῖραι τοὺς τεθνεῶτας, ἐν τῇ <b>ἐνδόξῳ</b> Ἀναστάσει αὐτοῦ. Χαῖρε πύλη""",ἐνδόξῳ,Plagal I
