ἵστημι,(his'-tay-mee),"to make to stand, to stand",πόλιν καὶ ἔστησεν αὐτὸν ἐπὶ<br><br>τῶν πλατειῶν ἑστῶτες προσεύχεσθαι ὅπως<br><br>ἑαυτῆς οὐ σταθήσεται , city and sets him upon<br><br> of the streets standing to pray so that<br><br> itself not will stand,Verb,"""οἱ φυλάσσοντες ἀπενεκρώθησαν· καὶ <b>ἵστατο</b> Μαρία ἐν τῷ τάφῳ, ζητοῦσα τὸ""",ἵστατο,BibleHub
Μαρία,(mar-ee'-ah),"Mary, the name of several Christian women",μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ<br><br>φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά<br><br>παιδίον μετὰ Μαρίας τῆς μητρὸς, mother of him Mary to Joseph<br><br> fear to take to [you] Mary [as] the wife<br><br> child with Mary the mother,"Noun, Feminine; Proper Noun, Indeclinable","""ἀπενεκρώθησαν· καὶ ἵστατο <b>μαρία</b> ἐν τῷ τάφῳ, ζητοῦσα τὸ ἄχραντόν""",Μαρία,BibleHub
τάφος,(taf'-os),"a burial, a grave",οἰκοδομεῖτε τοὺς τάφους τῶν προφητῶν<br><br>ἀπέναντι τοῦ τάφου <br><br>ἀσφαλισθῆναι τὸν τάφον ἕως τῆς, you build the tombs of the prophets<br><br> opposite the tomb<br><br> to be secured the tomb until the,"Noun, Masculine","""καὶ ἵστατο Μαρία ἐν τῷ <b>τάφῳ</b>, ζητοῦσα τὸ ἄχραντόν σου σῶμα.""",τάφῳ,BibleHub
ᾍδης,(hah'-dace),"Hades, the abode of departed spirits",καὶ πύλαι ᾅδου οὐ κατισχύσουσιν<br><br>ἕως τοῦ ᾅδου καταβήσῃ <br><br>ἐν τῷ ᾅδῃ ἐπάρας τοὺς, and [the] gates of hades not will prevail against<br><br> to Hades you will be brought down<br><br> in Hades having lifted up the,"Noun, Masculine","""ἄχραντόν σου σῶμα. Ἐσκύλευσας τὸν <b>ᾅδην</b>, μὴ πειρασθεὶς ὑπ ̓ αὐτοῦ·""",ᾍδην,BibleHub
μή,(may),"not, that...not, lest (used for qualified negation)",υἱὸς Δαυίδ μὴ φοβηθῇς παραλαβεῖν<br><br>κατ' ὄναρ μὴ ἀνακάμψαι πρὸς<br><br>καὶ μὴ δόξητε λέγειν, son of David not fear to take to [you]<br><br> in a dream not to return to<br><br> and not think to say,"Particle, Negative","""σου σῶμα. Ἐσκύλευσας τὸν ᾍδην, <b>μὴ</b> πειρασθεὶς ὑπ ̓ αὐτοῦ· ὑπήντησας τῇ""",μὴ,BibleHub
ἵστημι,(his'-tay-mee),"to make to stand, to stand",πόλιν καὶ ἔστησεν αὐτὸν ἐπὶ<br><br>τῶν πλατειῶν ἑστῶτες προσεύχεσθαι ὅπως<br><br>ἑαυτῆς οὐ σταθήσεται , city and sets him upon<br><br> of the streets standing to pray so that<br><br> itself not will stand,Verb,"""οἱ φυλάσσοντες ἀπενεκρώθησαν· καὶ <b>ἵστατο</b> Μαρία ἐν τῷ τάφῳ, ζητοῦσα τὸ""",ἵστατο,BibleHub
τάφος,(taf'-os),"a burial, a grave",οἰκοδομεῖτε τοὺς τάφους τῶν προφητῶν<br><br>ἀπέναντι τοῦ τάφου <br><br>ἀσφαλισθῆναι τὸν τάφον ἕως τῆς, you build the tombs of the prophets<br><br> opposite the tomb<br><br> to be secured the tomb until the,"Noun, Masculine","""καὶ ἵστατο Μαρία ἐν τῷ <b>τάφῳ</b>, ζητοῦσα τὸ ἄχραντόν σου σῶμα.""",τάφῳ,BibleHub
μή,(may),"not, that...not, lest (used for qualified negation)",υἱὸς Δαυίδ μὴ φοβηθῇς παραλαβεῖν<br><br>κατ' ὄναρ μὴ ἀνακάμψαι πρὸς<br><br>καὶ μὴ δόξητε λέγειν, son of David not fear to take to [you]<br><br> in a dream not to return to<br><br> and not think to say,"Particle, Negative","""σου σῶμα. Ἐσκύλευσας τὸν ᾍδην, <b>μὴ</b> πειρασθεὶς ὑπ αὐτοῦ· ὑπήντησας τῇ""",μὴ,BibleHub
ὑπαντάω,(hoop-an-tah'-o),"to go to meet, to meet",ἰδοὺ Ἰησοῦς ὑπήντησεν αὐταῖς λέγων<br><br>πλοίου εὐθὺς ὑπήντησεν αὐτῷ ἐκ<br><br>τὴν γῆν ὑπήντησεν ἀνήρ τις, behold Jesus met them saying<br><br> boat immediately met him out of<br><br> the land met [him] a man certain,Verb,"""ᾍδην, μὴ πειρασθεὶς ὑπ αὐτοῦ· <b>ὑπήντησας</b> τῇ Παρθένῳ, δωρούμενος τὴν ζωήν""",ὑπήντησας,BibleHub
δέω,(deh'-o),"to tie, bind",ζιζάνια καὶ δήσατε αὐτὰ εἰς<br><br>τὸν Ἰωάνην ἔδησεν αὐτὸν καὶ<br><br>ὃ ἐὰν δήσῃς ἐπὶ τῆς, weeds and bind them into<br><br> John he bound him and<br><br> whatever if you might bind on the,Verb,"""πειρασθεὶς ὑπ αὐτοῦ· ὑπήντησας τῇ <b>παρθένῳ</b>, δωρούμενος τὴν ζωήν. Ὁ ἀναστὰς""",Παρθένῳ,BibleHub
κύριος,(koo'-ree-os),"lord, master",ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ<br><br>ὁ ἄγγελος Κυρίου καὶ παρέλαβεν<br><br>ἰδοὺ ἄγγελος Κυρίου φαίνεται κατ', having been spoken by the Lord through the<br><br> the angel of [the] Lord and took to [him]<br><br> behold an angel of [the] Lord appears in,"Noun, Masculine","""ζωήν. Ὁ ἀναστὰς ἐκ τῶν νεκρῶν, <b>κύριε</b>, δόξα σοι. Ὁ τὴν εὐ­λο­γη­μέ­νην""",Κύριε,BibleHub
Βαρνάβας,(bar-nab'-as),"Barnabas, an Israelite companion of Paul",Βαρνάβας δὲ ἐπιλαβόμενος<br><br>καὶ ἐξαπέστειλαν Βαρνάβαν διελθεῖν ἕως<br><br>διὰ χειρὸς Βαρνάβα καὶ Σαύλου, Barnabas moreover having taken<br><br> and they sent forth Barnabas to go as far as<br><br> by [the] hand of Barnabas and Saul,"Noun, Masculine","""δυνάμεις ἐπὶ τὸ μνῆμά σου, <b>καὶ</b> οἱ φυλάσσοντες ἀπενεκρώθησαν· <b>καὶ</b>""",καὶ,BibleHub
