σκυθρωπός,with a gloomy look,καὶ ἐστάθησαν σκυθρωποί , and they are standing looking sad,Adjective,"""<b>φαιδρὸν</b> τῆς Ἀναστάσεως κήρυγμα, ἐκ τοῦ""",φαιδρὸν,Tom IV
ἀνάστασις,"a standing up, a resurrection, a raising up, rising",ἐν τῇ ἀναστάσει οὖν τίνος<br><br>γὰρ τῇ ἀναστάσει οὔτε γαμοῦσιν<br><br>δὲ τῆς ἀναστάσεως τῶν νεκρῶν, In the resurrection therefore of which<br><br> indeed the resurrection neither do they marry<br><br> moreover the resurrection of the dead,"Noun, Feminine","""φαιδρὸν τῆς <b>ἀναστάσεως</b> κήρυγμα, ἐκ τοῦ Ἀγγέλου""",Ἀναστάσεως,Tom IV
ἄγγελος,"a messenger, angel",αὐτῷ ὁ ἄγγελος Κυρίου καὶ<br><br>αὐτῶν ἰδοὺ ἄγγελος Κυρίου φαίνεται<br><br>Ἡρῴδου ἰδοὺ ἄγγελος Κυρίου φαίνεται, him the angel of [the] Lord and<br><br> they behold an angel of [the] Lord appears<br><br> Herod behold an angel of [the] Lord appears,"Noun, Masculine","""τῆς Ἀναστάσεως κήρυγμα, ἐκ τοῦ <b>ἀγγέλου</b> μαθοῦσαι αἱ τοῦ Κυρίου Μαθήτριαι""",Ἀγγέλου,Tom IV
κύριος,"lord, master",ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ<br><br>ὁ ἄγγελος Κυρίου καὶ παρέλαβεν<br><br>ἰδοὺ ἄγγελος Κυρίου φαίνεται κατ', having been spoken by the Lord through the<br><br> the angel of [the] Lord and took to [him]<br><br> behold an angel of [the] Lord appears in,"Noun, Masculine","""ἐκ τοῦ Ἀγγέλου μαθοῦσαι αἱ τοῦ <b>κυρίου</b> Μαθήτριαι, καὶ τὴν προγονικὴν""",Κυρίου,Tom IV
ἀπόστολος,"a messenger, one sent on a mission, an apostle",οὓς καὶ ἀποστόλους ὠνόμασεν ἵνα<br><br>συνάγονται οἱ ἀπόστολοι πρὸς τὸν<br><br>οὓς καὶ ἀποστόλους ὠνόμασεν , ones and apostles he calls that<br><br> are gathered together the apostles to<br><br> whom also apostles he named,"Noun, Masculine","""ἀπόφασιν ἀπορρίψασαι, τοῖς <b>ἀποστόλοις</b> καυχώμεναι ἔλεγον· Ἐσκύλευται ὁ""",Ἀποστόλοις,Tom IV
Χριστός,"the Anointed One, Messiah, Christ",ὁ λεγόμενος Χριστός <br><br>ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες<br><br>ΔΕ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ἡ γένεσις, who is called Christ<br><br> to the Christ generations fourteen<br><br> now of Jesus Christ the birth,"Noun, Masculine","""Ἐσκύλευται ὁ θάνατος, ἡγέρθη <b>χριστὸς</b> ὁ Θεός, δωρούμενος τῷ κόσμῳ τὸ""",Χριστὸς,Tom IV
θεός,"God, a god",δύναται ὁ θεὸς ἐκ τῶν<br><br>πνεῦμα τοῦ θεοῦ καταβαῖνον ὡσεὶ<br><br>εἶ τοῦ θεοῦ εἰπὲ ἵνα, able is God from the<br><br> Spirit of God descending as<br><br> you are of God speak that,"Noun, Feminine; Noun, Masculine","""ὁ θάνατος, ἡγέρθη Χριστὸς ὁ <b>θεός</b>, δωρούμενος τῷ κόσμῳ τὸ μέγα""",Θεός,Tom IV
ἀπό,"from, away from",δεκατέσσαρες καὶ ἀπὸ Δαυὶδ ἕως<br><br>δεκατέσσαρες καὶ ἀπὸ τῆς μετοικεσίας<br><br>λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν, fourteen and from David until<br><br> fourteen and from the deportation<br><br> people of him from the sins,Preposition,"""τῷ κόσμῳ τὸ μέγα ἔλεος. Τὸ <b>ἀπ</b> ' αἰῶνος ἀπόκρυφον, καὶ ἀγγέλοις""",ἀπ,Tom IV
αἰών,"a space of time, an age",τούτῳ τῷ αἰῶνι οὔτε ἐν<br><br>μέριμνα τοῦ αἰῶνος καὶ ἡ<br><br>θερισμὸς συντέλεια αἰῶνός ἐστιν οἱ, this the age nor in<br><br> care the age and the<br><br> [the] harvest [the] completion of the age is,"Noun, Masculine","""τῷ κόσμῳ τὸ μέγα ἔλεος. Τὸ ἀπ ' <b>αἰῶνος</b> ἀπόκρυφον, καὶ ἀγγέλοις ἄγνωστον""",αἰῶνος,Tom IV
ἀπόκρυφος,hidden,γενήσεται οὐδὲ ἀπόκρυφον ὃ οὐ<br><br>καὶ γνώσεως ἀπόκρυφοι , will become nor secret which nothing<br><br> and of knowledge hidden,Adjective,"""τὸ μέγα ἔλεος. Τὸ ἀπ ' αἰῶνος <b>ἀπόκρυφον</b>, καὶ ἀγγέλοις ἄγνωστον""",ἀπόκρυφον,Tom IV
ἄγνωστος,unknown,,,Adjective,"""αἰῶνος ἀπόκρυφον, καὶ ἀγγέλοις <b>ἄγνωστον</b> Μυστήριον· διὰ σοῦ Θεοτόκε τοῖς""",ἄγνωστον,Tom IV
ἐπί,"on, upon",Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα<br><br>τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην<br><br>καὶ ἐρχόμενον ἐπ' αὐτόν , Sadducees coming to the baptism<br><br> Galilee to the Jordan<br><br> and lighting upon him,Preposition,"""Μυστήριον· διὰ σοῦ Θεοτόκε τοῖς <b>ἐπὶ</b> γῆς πεφανέρωται, Θεὸς ἐν ἀσυγχύτῳ""",ἐπὶ,Tom IV
