ἐκ,"from, from out of",τὸν Βοὲς ἐκ τῆς Ῥαχάβ<br><br>τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ<br><br>τὸν Σολομῶνα ἐκ τῆς τοῦ, Boaz of Rahab<br><br> Obed of Ruth<br><br> Solomon of the one [who had been wife],Preposition,"""<b>ἐξ</b> ὕψους κατῆλθες ὁ εὔσπλαγχνος,""",Ἐξ,Plagal IV
ἄβυσσος,"boundless, bottomless",εἰς τὴν ἄβυσσον τοῦτ' ἔστιν<br><br>φρέατος τῆς ἀβύσσου <br><br>φρέαρ τῆς ἀβύσσου καὶ ἀνέβη, into the abyss That is<br><br> pit of the abyss<br><br> pit of the abyss and there went up,"Noun, Feminine","""ὕψους <b>κατῆλθες</b> ὁ εὔσπλαγχνος, ταφὴν κατεδέξω""",κατῆλθες,Plagal IV
ταφή,burial,,,"Noun, Feminine","""ὕψους κατῆλθες ὁ εὔσπλαγχνος, <b>ταφὴν</b> κατεδέξω τριήμερον, ἵνα ἡμᾶς""",ταφὴν,Plagal IV
ἵνα,"in order that, that, so that",τελευτῆς Ἡρῴδου ἵνα πληρωθῇ τὸ<br><br>θεοῦ εἰπὲ ἵνα οἱ λίθοι<br><br>ἵνα πληρωθῇ τὸ, death of Herod that might be fulfilled that<br><br> of God speak that the stones<br><br> that might be fulfilled that,Conjunction,"""ταφὴν κατεδέξω τριήμερον, <b>ἵνα</b> ἡμᾶς ἐλευθερώσῃς τῶν παθῶν. Ἡ ζωὴ""",ἵνα,Plagal IV
ζωή,life,εἰς τὴν ζωὴν κυλλὸν ἢ<br><br>εἰς τὴν ζωὴν εἰσελθεῖν ἢ<br><br>ἵνα σχῶ ζωὴν αἰώνιον , into life crippled or<br><br> into the life to enter [rather] than<br><br> that I might have life eternal,"Noun, Feminine","""ἵνα ἡμᾶς ἐλευθερώσῃς τῶν παθῶν. Ἡ <b>ζωὴ</b> καὶ ἡ ἀνάστασις ἡμῶν, Κύριε, δόξα""",ζωὴ,Plagal IV
κύριος,"lord, master",ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ<br><br>ὁ ἄγγελος Κυρίου καὶ παρέλαβεν<br><br>ἰδοὺ ἄγγελος Κυρίου φαίνεται κατ', having been spoken by the Lord through the<br><br> the angel of [the] Lord and took to [him]<br><br> behold an angel of [the] Lord appears in,"Noun, Masculine","""Ἡ ζωὴ καὶ ἡ ἀνάστασις ἡμῶν, <b>κύριε</b>, δόξα σοι. Ὁ δι ' ἡμᾶς γεννηθεὶς""",Κύριε,Plagal IV
αἰτία,"cause, reason",ἐστὶν ἡ αἰτία τοῦ ἀνθρώπου<br><br>αὐτοῦ τὴν αἰτίαν αὐτοῦ γεγραμμένην<br><br>ἐπιγραφὴ τῆς αἰτίας αὐτοῦ ἐπιγεγραμμένη, is the case of the man<br><br> of him the accusation of him written<br><br> inscription of the accusation against him read,"Noun, Feminine","""ἡμῶν, Κύριε, δόξα σοι. Ὁ <b>δι</b> ' ἡμᾶς γεννηθεὶς ἐκ Παρθένου, καὶ""",δι,Plagal IV
γεννάω,"to beget, to bring forth",Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ<br><br>Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν<br><br>Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς, Isaac moreover was father of Jacob<br><br> Jacob moreover was father of Judah<br><br> Judah moreover was father of Perez,Verb,"""Κύριε, δόξα σοι. Ὁ δι ' ἡμᾶς <b>γεννηθεὶς</b> ἐκ Παρθένου, καὶ σταύρωσιν""",γεννηθεὶς,Plagal IV
παρθένος,"a maiden, a virgin",οὐρανῶν δέκα παρθένοις αἵτινες λαβοῦσαι<br><br>πᾶσαι αἱ παρθένοι ἐκεῖναι καὶ<br><br>αἱ λοιπαὶ παρθένοι λέγουσαι Κύριε, heavens ten virgins who having taken<br><br> all the virgins those and<br><br> the other virgins saying Lord,"Noun, Feminine","""σοι. Ὁ δι ' ἡμᾶς γεννηθεὶς ἐκ <b>παρθένου</b>, καὶ σταύρωσιν ὑπομείνας ἀγαθέ""",Παρθένου,Plagal IV
ἀγαθός,good,οἴδατε δόματα ἀγαθὰ διδόναι τοῖς<br><br>οὐρανοῖς δώσει ἀγαθὰ τοῖς αἰτοῦσιν<br><br>πᾶν δένδρον ἀγαθὸν καρποὺς καλοὺς, know [how] gifts good to give to the<br><br> heavens will give good things to them that ask<br><br> every tree good good fruits good,Adjective,"""Παρθένου, καὶ σταύρωσιν ὑπομείνας <b>ἀγαθέ</b>, ὁ θανάτῳ τὸν θάνατον σκυλεύσας,""",ἀγαθέ,Plagal IV
ἔγερσις,"a rousing, a rising (from death)",,,"Noun, Feminine","""τὸν θάνατον σκυλεύσας, καὶ <b>ἔγερσιν</b> δείξας ὡς Θεός, μὴ παρίδῃς οὓς""",Ἔγερσιν,Plagal IV
